"","celltype"
"Dat1_Cell_00483","SST"
"Dat1_Cell_00484","eL6"
"Dat1_Cell_00485","eL6"
"Dat1_Cell_00486","PVALB"
"Dat1_Cell_00487","eL2/3"
"Dat1_Cell_00488","eL4"
"Dat1_Cell_00492","Oligo"
"Dat1_Cell_00493","eL2/3"
"Dat1_Cell_00494","Oligo"
"Dat1_Cell_00495","eL4"
"Dat1_Cell_00496","eL2/3"
"Dat1_Cell_00497","Micro"
"Dat1_Cell_00499","eL6"
"Dat1_Cell_00500","Astro"
"Dat1_Cell_00503","eL6"
"Dat1_Cell_00504","eL4"
"Dat1_Cell_00505","eL5"
"Dat1_Cell_00506","eL4"
"Dat1_Cell_00507","Oligo"
"Dat1_Cell_00508","eL4"
"Dat1_Cell_00509","eL6"
"Dat1_Cell_00510","eL2/3"
"Dat1_Cell_00511","eL6"
"Dat1_Cell_00513","eL6"
"Dat1_Cell_00514","eL2/3"
"Dat1_Cell_00515","eL4"
"Dat1_Cell_00516","Endo"
"Dat1_Cell_00517","Oligo"
"Dat1_Cell_00518","eL2/3"
"Dat1_Cell_00519","Astro"
"Dat1_Cell_00520","eL4"
"Dat1_Cell_00521","Endo"
"Dat1_Cell_00522","eL2/3"
"Dat1_Cell_00523","eL6"
"Dat1_Cell_00524","eL6"
"Dat1_Cell_00526","Endo"
"Dat1_Cell_00527","Astro"
"Dat1_Cell_00528","eL4"
"Dat1_Cell_00529","eL4"
"Dat1_Cell_00530","eL4"
"Dat1_Cell_00531","eL4"
"Dat1_Cell_00533","eL6"
"Dat1_Cell_00534","Oligo"
"Dat1_Cell_00535","eL4"
"Dat1_Cell_00536","Astro"
"Dat1_Cell_00537","Oligo"
"Dat1_Cell_00538","eL5"
"Dat1_Cell_00539","eL4"
"Dat1_Cell_00540","eL6"
"Dat1_Cell_00541","eL4"
"Dat1_Cell_00543","eL2/3"
"Dat1_Cell_00546","eL2/3"
"Dat1_Cell_00547","eL6"
"Dat1_Cell_00548","eL4"
"Dat1_Cell_00549","Oligo"
"Dat1_Cell_00550","Endo"
"Dat1_Cell_00551","eL4"
"Dat1_Cell_00552","Endo"
"Dat1_Cell_00553","VIP"
"Dat1_Cell_00554","eL5"
"Dat1_Cell_00555","eL4"
"Dat1_Cell_00556","eL4"
"Dat1_Cell_00557","eL4"
"Dat1_Cell_00558","eL6"
"Dat1_Cell_00559","Astro"
"Dat1_Cell_00560","Astro"
"Dat1_Cell_00561","Endo"
"Dat1_Cell_00562","eL4"
"Dat1_Cell_00563","Astro"
"Dat1_Cell_00564","eL2/3"
"Dat1_Cell_00565","eL6"
"Dat1_Cell_00566","eL6"
"Dat1_Cell_00567","Oligo"
"Dat1_Cell_00568","eL4"
"Dat1_Cell_00570","eL6"
"Dat1_Cell_00572","eL4"
"Dat1_Cell_00574","eL4"
"Dat1_Cell_00575","VIP"
"Dat1_Cell_00576","eL2/3"
"Dat1_Cell_00577","eL6"
"Dat1_Cell_00579","eL2/3"
"Dat1_Cell_00580","Astro"
"Dat1_Cell_00581","eL4"
"Dat1_Cell_00583","eL2/3"
"Dat1_Cell_00584","eL2/3"
"Dat1_Cell_00587","Oligo"
"Dat1_Cell_00588","eL4"
"Dat1_Cell_00590","eL6"
"Dat1_Cell_00591","eL5"
"Dat1_Cell_00592","Astro"
"Dat1_Cell_00593","eL2/3"
"Dat1_Cell_00594","Astro"
"Dat1_Cell_00595","eL5"
"Dat1_Cell_00596","SST"
"Dat1_Cell_00598","eL2/3"
"Dat1_Cell_00599","eL2/3"
"Dat1_Cell_00600","eL6"
"Dat1_Cell_00601","eL5"
"Dat1_Cell_00602","Micro"
"Dat1_Cell_00603","Oligo"
"Dat1_Cell_00604","eL2/3"
"Dat1_Cell_00605","eL2/3"
"Dat1_Cell_00606","Oligo"
"Dat1_Cell_00608","Astro"
"Dat1_Cell_00609","Endo"
"Dat1_Cell_00610","eL4"
"Dat1_Cell_00611","eL2/3"
"Dat1_Cell_00612","eL2/3"
"Dat1_Cell_00613","eL6"
"Dat1_Cell_00614","eL6"
"Dat1_Cell_00615","Micro"
"Dat1_Cell_00616","Astro"
"Dat1_Cell_00617","Astro"
"Dat1_Cell_00618","Micro"
"Dat1_Cell_00619","Oligo"
"Dat1_Cell_00620","eL6"
"Dat1_Cell_00621","eL6"
"Dat1_Cell_00622","eL2/3"
"Dat1_Cell_00624","eL2/3"
"Dat1_Cell_00625","eL2/3"
"Dat1_Cell_00626","eL4"
"Dat1_Cell_00627","Endo"
"Dat1_Cell_00628","Astro"
"Dat1_Cell_00629","Oligo"
"Dat1_Cell_00630","Oligo"
"Dat1_Cell_00631","eL2/3"
"Dat1_Cell_00632","Astro"
"Dat1_Cell_00633","Oligo"
"Dat1_Cell_00634","eL6"
"Dat1_Cell_00636","Oligo"
"Dat1_Cell_00637","eL4"
"Dat1_Cell_00638","eL2/3"
"Dat1_Cell_00641","eL4"
"Dat1_Cell_00642","eL4"
"Dat1_Cell_00643","eL4"
"Dat1_Cell_00645","Oligo"
"Dat1_Cell_00647","eL4"
"Dat1_Cell_00648","eL4"
"Dat1_Cell_00650","eL5"
"Dat1_Cell_00651","Oligo"
"Dat1_Cell_00652","eL4"
"Dat1_Cell_00653","Endo"
"Dat1_Cell_00654","Oligo"
"Dat1_Cell_00655","eL5"
"Dat1_Cell_00656","Micro"
"Dat1_Cell_00657","Oligo"
"Dat1_Cell_00658","Oligo"
"Dat1_Cell_00660","Micro"
"Dat1_Cell_00661","eL4"
"Dat1_Cell_00662","eL6"
"Dat1_Cell_00663","Micro"
"Dat1_Cell_00664","eL6"
"Dat1_Cell_00665","eL6"
"Dat1_Cell_00666","Endo"
"Dat1_Cell_00667","eL2/3"
"Dat1_Cell_00669","Oligo"
"Dat1_Cell_00670","PVALB"
"Dat1_Cell_00671","eL2/3"
"Dat1_Cell_00672","Oligo"
"Dat1_Cell_00673","Astro"
"Dat1_Cell_00674","Astro"
"Dat1_Cell_00676","eL6"
"Dat1_Cell_00677","eL4"
"Dat1_Cell_00678","eL4"
"Dat1_Cell_00679","Oligo"
"Dat1_Cell_00680","eL6"
"Dat1_Cell_00681","eL4"
"Dat1_Cell_00682","PVALB"
"Dat1_Cell_00683","Oligo"
"Dat1_Cell_00684","eL2/3"
"Dat1_Cell_00685","eL4"
"Dat1_Cell_00687","eL4"
"Dat1_Cell_00688","eL6"
